,FID,Long,Lat,ID,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_20_100mm,bio_21,bio_22,bio_23,bio_24,bio_25,bio_26,bio_27,bio_28,bio_29
1,1,-73.08825,7.06863,1,238,95,93,232,289,187,102,235,236,240,234,1068,141,58,28,336,190,321,301,4,60814,8,5813,4537,1276,4835,4835,5127,4628
2,2,-74.1703,11.30242,1,285,94,81,552,339,224,115,283,280,291,277,562,119,2,76,283,13,167,32,11,75483,10,7356,5337,2018,5815,5815,6053,6405
3,3,-72.8667,3.8811,1,268,90,73,934,340,217,123,258,276,281,255,2356,328,22,56,947,120,178,900,3,58203,19,6709,3686,3023,3922,3922,6220,3921
4,4,-75.6113,1.64671,1,257,97,83,486,320,204,116,250,262,262,249,3493,470,144,36,1319,479,479,1121,0,54696,16,5782,3531,2251,3680,3680,5571,3943
5,5,-70.25,-3.7,1,258,93,84,404,311,201,110,259,254,262,252,2801,317,154,21,879,506,685,604,0,47179,11,4764,3247,1517,3807,3807,4058,3647
6,6,-76.65144,5.6932,1,267,97,94,198,318,215,103,266,267,269,264,7281,739,443,15,2164,1441,1752,1773,0,56584,8,5236,4004,1232,4773,4773,5039,4383
7,7,-70.14192,-3.39959,1,258,92,85,397,309,202,107,259,254,262,252,2789,303,157,21,857,498,695,621,0,46803,11,4776,3239,1537,3767,3767,4037,3559
8,8,-76.2257,8.27424,1,267,94,88,261,323,217,106,266,269,270,263,1621,211,41,48,589,127,221,499,4,65302,7,5971,4759,1212,5395,5395,5766,4963
9,9,-75.84938,4.79983,1,222,115,91,334,287,161,126,224,222,225,217,1811,222,95,31,572,307,456,536,2,63064,10,6254,4505,1749,5139,5139,5665,4706
10,10,-75.42,4.13944,1,176,91,92,206,225,127,98,177,175,177,172,1787,231,88,33,595,312,486,523,1,47127,9,4500,3485,1015,3728,3728,4067,3711
11,11,-78.66122,1.49554,1,257,70,87,320,298,218,80,259,253,261,253,2888,387,120,38,1104,429,1008,444,0,40229,11,3888,2857,1032,3373,3373,3672,3240
12,12,-70.25,-3.78,1,259,93,85,392,312,203,109,260,256,263,253,2788,316,151,22,879,505,680,596,0,47793,11,4763,3312,1451,3785,3785,4130,3707
13,13,-75.57152,6.92677,1,120,103,86,321,176,57,119,124,116,124,116,3544,450,96,41,1212,381,1212,868,1,44084,9,4144,3159,984,3477,3477,3477,3598
14,14,-75.70667,1.85417,1,147,93,87,368,201,95,106,144,149,150,141,2291,260,112,27,777,362,553,721,0,36798,9,3535,2618,917,2794,2794,3236,2745
15,15,-74.84719,6.08298,1,252,100,90,355,308,198,110,247,254,255,246,2559,378,87,41,898,354,543,795,1,64015,8,6150,4685,1465,4902,4902,5697,4834
16,16,-75.58667,5.00011,1,213,108,91,329,274,156,118,213,214,216,208,2527,287,150,24,780,480,500,727,0,59672,8,5620,4407,1213,4715,4715,5428,4680
17,17,-75.18537,6.05785,1,218,102,89,342,277,163,114,214,216,221,212,4216,544,186,32,1401,665,1238,1227,0,59654,10,5970,4345,1625,4570,4570,4934,4400
18,18,-73.08958,7.06974,1,238,95,93,232,289,187,102,235,236,240,234,1068,141,58,28,336,190,321,301,4,60814,8,5813,4537,1276,4835,4835,5127,4628
19,19,-73.34478,7.47157,1,276,106,89,266,334,215,119,273,274,278,272,2306,368,41,46,883,238,620,731,2,68394,8,6478,5020,1458,5319,5319,5593,5114
20,20,-78.63297,1.47484,1,256,72,87,340,299,217,82,259,253,261,253,3036,403,134,36,1143,470,1049,506,0,40977,11,3936,2867,1069,3558,3558,3774,3349
21,21,-75.00165,6.04842,1,221,98,90,324,277,169,108,217,223,224,216,3947,572,137,37,1422,554,794,1305,0,58431,9,5354,4220,1135,4603,4603,5097,4324
22,22,-76.56,3.43091,1,226,112,88,330,290,164,126,222,226,230,222,1456,195,50,38,484,206,390,484,3,59782,10,5563,4312,1251,4480,4480,5284,4480
23,23,-74.57,6.25,1,278,102,90,263,334,221,113,278,278,280,274,2488,392,66,47,863,292,552,762,1,68308,10,6717,4948,1769,5551,5551,6196,5228
24,24,-75.6486,1.59381,1,258,97,82,502,322,205,117,251,264,264,250,3586,460,128,35,1326,468,468,1159,0,54410,16,5725,3602,2123,3700,3700,5453,3909
25,25,-70.28,-3.78,1,259,94,86,404,311,202,109,260,255,263,253,2797,318,152,22,882,507,681,599,0,47637,11,4794,3312,1482,3816,3816,4092,3726
26,26,-75.60667,1.65,1,254,97,83,457,317,201,116,248,259,259,247,3401,456,151,35,1262,489,489,1079,0,54325,16,5750,3533,2216,3680,3680,5528,3909
27,27,-74.59,2.43,1,244,108,87,425,307,183,124,242,247,249,238,2234,265,87,31,744,313,378,582,1,58629,13,6051,3837,2214,4201,4201,5769,4410
28,28,-73.22347,8.59865,1,247,105,84,431,305,181,124,246,243,250,240,2135,302,57,42,782,232,580,255,2,64623,10,6166,4574,1591,5106,5106,5447,5311
29,29,-74.43333,4.96667,1,220,92,90,299,271,169,102,215,220,222,215,1741,239,51,41,608,223,551,608,2,54722,10,5206,3976,1230,4032,4032,4430,4032
30,30,-70.30722,-3.71944,1,259,93,85,404,311,202,109,260,255,263,253,2805,319,155,22,882,507,683,606,0,47487,12,4793,3246,1547,3778,3778,4107,3683
31,31,-75.66106,4.98914,1,218,111,89,346,282,158,124,218,219,222,213,2451,286,135,24,775,435,610,702,0,60254,8,5600,4439,1161,4813,4813,5408,4738
32,32,-78.35894,1.41461,1,249,78,89,266,295,208,87,251,246,253,246,4226,533,259,24,1439,837,1164,894,0,43920,13,4448,3174,1275,3671,3671,4348,3352
33,33,-76.39179,3.7882,1,237,109,90,277,299,178,121,234,237,240,233,1003,133,48,33,332,165,271,329,4,61591,7,5615,4619,996,5023,5023,5274,4828
34,34,-76.60087,7.90953,1,265,84,88,222,315,220,95,264,267,268,263,2618,295,85,35,866,273,430,773,3,61692,9,5726,4370,1356,5002,5002,5553,4986
35,35,-70.47199273,6.803149491,2,270,90,73,736,338,215,123,260,273,279,260,1799,310,5,71,840,39,216,840,5,60205,16,6708,3988,2720,4282,4282,5779,4282
36,36,-71.35542323,6.952323956,2,260,110,80,538,333,197,136,254,266,267,253,2302,379,23,59,963,113,296,932,4,64719,13,6684,4475,2209,4612,4612,6020,4775
37,37,-71.85786452,6.931039742,2,253,107,85,413,319,194,125,248,254,258,247,3160,475,59,51,1253,250,529,1196,2,60720,8,5720,4453,1267,4567,4567,5055,4843
38,38,-71.87102692,6.668119338,2,236,105,85,458,302,179,123,231,238,242,230,3815,620,57,56,1618,257,627,1572,2,57076,8,5405,3983,1421,4253,4253,4996,4449
39,39,-71.75365004,6.189463681,2,261,102,80,681,330,204,126,253,266,269,251,2762,437,28,58,1140,148,428,1109,4,60108,11,6152,4173,1979,4455,4455,5309,4629
40,40,-74.95268565,3.16747851,2,198,87,84,288,248,145,103,196,196,201,195,1848,248,96,33,638,311,350,368,1,45718,9,4288,3415,873,3520,3520,3928,3766
41,41,-75.04775898,3.02384933,2,202,92,85,249,254,147,107,200,200,204,199,1809,250,85,35,644,284,363,316,2,48197,11,4765,3380,1386,3769,3769,4417,3972
42,42,-75.30949296,2.999660598,2,270,114,85,516,342,209,133,264,273,276,264,1259,202,21,57,530,79,95,530,4,63862,10,6438,4693,1745,5025,5025,5511,5025
43,43,-75.41639701,2.856008474,2,246,111,88,317,312,186,126,242,247,249,242,1586,246,33,50,639,133,135,639,4,61105,11,5993,4434,1560,4731,4731,5396,4731
